 Ticker,Description,Total Revenue (FY),Gross Profit (FY),Net Income (FY),Industry
UCTT,"Ultra Clean Holdings, Inc.",2374300000,465000000,40400000,Industrial Machinery
ADUS,Addus HomeCare Corporation,951120000,290379000,46025000,Medical/Nursing Services
TCBI,"Texas Capital Bancshares, Inc.",1253830000,,332478000,Major Banks
VHC,VirnetX Holding Corp,48000,45000,-36260000,Packaged Software
CZNC,Citizens & Northern Corp,117079000,,26381000,Regional Banks
FDX,FedEx Corporation,90155000000,19166000000,3966000000,Air Freight/Couriers
FTLF,"FitLife Brands, Inc.",28803000,11968000,4429000,Pharmaceuticals: Other
THMO,"ThermoGenesis Holdings, Inc.",10483000,2323000,-11270000,Medical Specialties
MIR,"Mirion Technologies, Inc.",717800000,181500000,-276900000,Aerospace & Defense
EXFY,"Expensify, Inc.",169495000,104036000,-27009000,Packaged Software
RGP,"Resources Connection, Inc.",775643000,304585000,54359000,Miscellaneous Commercial Services
KMX,CarMax Inc,29684873000,2556254000,484762000,Specialty Stores
ITOS,"iTeos Therapeutics, Inc.",267630000,266817000,96652000,Biotechnology
KSS,Kohl's Corporation,18098000000,5833000000,-19000000,Department Stores
NKE,"Nike, Inc.",51191000000,21685000000,5070000000,Apparel/Footwear
DDS,"Dillard's, Inc.",6996215000,2824177000,891637000,Department Stores
AAWH.U,"ASCEND WELLNESS HOLDINGS, INC.",405926000,120468000,-80899000,Agricultural Commodities/Milling
ALLO,"Allogene Therapeutics, Inc.",243000,-16485000,-332632000,Biotechnology
SGH,"SMART Global Holdings, Inc.",1441250000.0001101,421984000.00003,-187526000.000015,Semiconductors
HDSN,"Hudson Technologies, Inc.",325225000,160100000,103801000,Wholesale Distributors
NEWT,"NewtekOne, Inc.",143590000,112605000,32311000,Finance/Rental/Leasing
TLF,"Tandy Leather Factory, Inc.",80335000,42066000,1227000,Specialty Stores
SYRE,"Spyre Therapeutics, Inc.",2329000,365000,-83815000,Biotechnology
ACIC,American Coastal Insurance Corporation,455422000,,-469855000,Property/Casualty Insurance
CANN,TREES Corporation,9075555.93902155,-219875.7593688,-9430581.38077385,Miscellaneous Commercial Services
LTCH,"Latch, Inc.",,,,Computer Communications
SHYF,"The Shyft Group, Inc.",1027164000,180433000,36558000,Trucks/Construction/Farm Machinery
CIFR,Cipher Mining Inc.,3037000,-2861000,-39053000,Data Processing Services
NLCP,"NewLake Capital Partners, Inc.",44794000,31969000,21976000,Real Estate Investment Trusts
ITT,ITT Inc.,2987700000,922300000,367000000,Industrial Machinery
FSS,Federal Signal Corporation,1434800000,338800000,120400000,Trucks/Construction/Farm Machinery
MGM,MGM Resorts International,13127485000,2992452000,1441205000,Casinos/Gaming
USNA,"USANA Health Sciences, Inc.",998601000,791318000,69350000,Pharmaceuticals: Other
TSBK,"Timberland Bancorp, Inc.",91081000,,27118000,Savings Banks
PNC,"PNC Financial Services Group, Inc. (The)",22956000000,,6014000000,Major Banks
VRM,"Vroom, Inc.",1948901000,158608000,-451910000,Specialty Stores
VSR,VOLTAIC STRATEGIC RESOURCES LTD,0,-662.99247,-1430626.0023,Integrated Oil
CARM,"Carisma Therapeutics, Inc.",40000000,39987000,-19884000,Biotechnology
MCFT,"MasterCraft Boat Holdings, Inc.",662046000,167757000,91424000,Recreational Products
KIND,"Nextdoor Holdings, Inc.",212765000,168128000,-137916000,Internet Software/Services
ESBA,"Empire State Realty OP, L.P. Series ES Operating Partnership",727041000,188793000,40643000,Real Estate Investment Trusts
ORA,"Ormat Technologies, Inc.",734159000,268824000,65840999.99999999,Electric Utilities
SUM,"Summit Materials, Inc.",2412522000,448895000,272145000,Construction Materials
SPR,"Spirit Aerosystems Holdings, Inc.",5029600000,58200000.0000002,-545700000,Aerospace & Defense
PLSE,"Pulse Biosciences, Inc",700000,-12581000,-58505000,Medical Specialties
VICR,Vicor Corporation,399079000,180559000,25446000,Electronic Components
AVDX,"AvidXchange Holdings, Inc.",316350000,165644000,-101284000,Packaged Software
DALN,DallasNews Corporation - Series A,150651000,-8519999.99999998,-9786000,Publishing: Newspapers
SNEX,StoneX Group Inc.,60856100000,2415700000,230400000,Investment Banks/Brokers
MBCN,Middlefield Banc Corp.,59745000,,15673000,Regional Banks
VABK,Virginia National Bankshares Corporation,69988000,,23438000,Regional Banks
NSSC,"NAPCO Security Technologies, Inc.",169997000,73233000,27127000,Miscellaneous Commercial Services
HAS,"Hasbro, Inc.",5854400000,2771500000,203500000,Recreational Products
LOCO,"El Pollo Loco Holdings, Inc.",469959000,69282000,20801000,Restaurants
MPWR,"Monolithic Power Systems, Inc.",1794148000,1048551999.9999998,437672000,Semiconductors
COUR,"Coursera, Inc.",523756000,331479000,-175357000,Internet Software/Services
BWEN,"Broadwind, Inc.",176759000,9984999.99999999,-9730000,Electrical Products
HAE,Haemonetics Corporation,1168660000,590233000,115401000,Medical Specialties
FBPI,"First Bancorp of Indiana, Inc.",27463330,,2851374,Savings Banks
GECC,Great Elm Capital Corp.,-101617000,-101524000,-15583000,Investment Managers
EFX,"Equifax, Inc.",5122200000,2384900000,696200000,Miscellaneous Commercial Services
SCCO,Southern Copper Corporation,10047900000,4560800000,2638500000,Other Metals/Minerals
EVR,Evercore Inc.,2778898000,2699306000,476520000,Investment Banks/Brokers
AYI,"Acuity Brands, Inc.",3952200000,1671100000,346000000,Electrical Products
MNRO,"Monro, Inc.",1325382000,456175000,39048000,Specialty Stores
CPK,Chesapeake Utilities Corporation,681077000,164980000,89796000,Gas Distributors
BKH,Black Hills Corporation,2551816000,520015999.99999994,258387000,Electric Utilities
FIXX,"Homology Medicines, Inc.",3208000,609000,-5005000,Pharmaceuticals: Major
OMCL,"Omnicell, Inc.",1295947000,597005000,5648000,Information Technology Services
EGAN,eGain Corporation,98011000,69167000,2109000,Internet Software/Services
IDXG,"Interpace Biosciences, Inc.",31838000,16961000,-21958000,Medical Specialties
RYAM,Rayonier Advanced Materials Inc.,1717267000,123083000,-27377000,Chemicals: Specialty
SSSS,SuRo Capital Corp.,-2449260,-2449260,-132177053,Investment Managers
ABBV,AbbVie Inc.,58054000000,41609000000,11782000000,Pharmaceuticals: Major
AKUMQ,Akumin Inc.,719928609.5485886,82124745.62595294,-150549708.8053272,Medical/Nursing Services
DOCN,"DigitalOcean Holdings, Inc.",576322000,364395000,-24283000,Packaged Software
PEBO,Peoples Bancorp Inc.,348388000,,100842000,Regional Banks
JOE,St. Joe Company (The),252321000,83535000,70927000,Real Estate Development
FLC,FLUENCE CORPORATION LIMITED,117053803.48369683,25605028.05278713,-15916399.9715463,Environmental Services
MODG,Topgolf Callaway Brands Corp.,3995700000,2400700000,157900000,Recreational Products
ACA,"Arcosa, Inc.",2242800000,422800000,244800000,Trucks/Construction/Farm Machinery
MCRB,"Seres Therapeutics, Inc.",7128000,-4725000,-250157000,Biotechnology
RENB,Renovaro Biosciences Inc.,0,-113496,-39684056,Biotechnology
RPD,"Rapid7, Inc.",685083000,456216000,-124717000,Information Technology Services
TTEK,"Tetra Tech, Inc.",4522550000,725029000,273420000,Engineering & Construction
SRM,"SRM Entertainment, Inc.",0,0,-1573,Recreational Products
GRZ,GOLD RESERVE INC,0,-100016.57506739,-8255898.98343606,Precious Metals
BKNG,Booking Holdings Inc. Common Stock,17090000000,16483000000,3058000000,Other Consumer Services
KNF,Knife Riv Holding Co.,2534729000,360894000,116220000,Construction Materials
PSBQ,PSB Holdings Inc.,53837000,,13637000,Major Banks
SFDL,Security Federal Corp.,52009000,,10228000,Regional Banks
AZZ,AZZ Inc.,1323649000,277890000,79109000,Industrial Specialties
ELEV,"Elevation Oncology, Inc.",0,-27000,-95080000,Biotechnology
WLDN,"Willdan Group, Inc.",429138000,126090000,-8448000,Miscellaneous Commercial Services
D,"Dominion Energy, Inc.",17174000000,8992000000,994000000,Electric Utilities
ZYME,Zymeworks Inc.,412482000.000662,400478000.000643,124341000.0002,Pharmaceuticals: Major
DECK,Deckers Outdoor Corporation,3628790000,1776867000,516822000,Apparel/Footwear
EL,"Estee Lauder Companies, Inc. (The)",15876000000,11315000000,1006000000,Household/Personal Care
VIRT,"Virtu Financial, Inc.",2066601999.9999995,864531000,255215000,Investment Banks/Brokers
CBRE,CBRE Group Inc,30828246000,6002070000,1407370000,Real Estate Development
NXST,"Nexstar Media Group, Inc.",5211000000,2544100000,971100000,Broadcasting
KTHN,Katahdin Bankshares Corp.,40827000,,9724000,Regional Banks
RCUS,"Arcus Biosciences, Inc.",112000000,98000000,-267000000,Biotechnology
EBF,"Ennis, Inc.",431837000,131050000.00000001,47300000,Commercial Printing/Forms
INSE,"Inspired Entertainment, Inc.",285400000,175800000,22300000,Packaged Software
BSVN,Bank7 Corp.,81688000,,29638000,Regional Banks
SBEV,"Splash Beverage Group, Inc. (NV)",18087486,-5670422,-21839216,Medical/Nursing Services
MGNI,"Magnite, Inc.",577069000,196468000,-130323000.00000001,Packaged Software
RVPH,"Reviva Pharmaceuticals Holdings, Inc.",0,0,-24339292,Pharmaceuticals: Major
BDSX,"Biodesix, Inc.",38212000,21054000,-65447000,Medical/Nursing Services
KINS,"Kingstone Companies, Inc",110839899,,-22524794,Insurance Brokers/Services
SCHL,Scholastic Corporation,1704000000,862900000,86300000,Publishing: Books/Magazines
DRCT,"Direct Digital Holdings, Inc.",89359733,13237551,4166603,Advertising/Marketing Services
FL,"Foot Locker, Inc.",8759000000,2596000000,342000000,Apparel/Footwear Retail
JWN,"Nordstrom, Inc.",15530000000,5519000000,245000000,Department Stores
EQH,"Equitable Holdings, Inc.",14017000000,,1785000000,Life/Health Insurance
CRNX,"Crinetics Pharmaceuticals, Inc.",4737000,3348000,-163918000,Pharmaceuticals: Major
BRDS,"Bird Global, Inc.",244660000,32477000,-358741000,Other Transportation
LUCY,"Innovative Eyewear, Inc.",659788,-56289,-5681833,Internet Retail
REAL,"The RealReal, Inc.",603493000,321022000,-196445000,Internet Retail
ROCK,"Gibraltar Industries, Inc.",1389966000,325379000,82406000,Metal Fabrication
FINW,FinWise Bancorp,86887000,,24922000,Regional Banks
PETS,"PetMed Express, Inc.",256858000,67468000,233000,Specialty Stores
HEI,Heico Corporation,2208322000,938820000,351675000,Aerospace & Defense
LPX,Louisiana-Pacific Corporation,3854000000,1499000000,928000000,Forest Products
MEDP,"Medpace Holdings, Inc.",1459996000,410097000,245211000,Miscellaneous Commercial Services
DUOT,"Duos Technologies Group, Inc.",15012366,4748103,-6864783,Packaged Software
FDP,"Fresh Del Monte Produce, Inc.",4410900000,307499999.999999,98600000,Agricultural Commodities/Milling
PDCO,"Patterson Companies, Inc.",6471471000,1372945000,207557000,Medical Distributors
PBHC,"Pathfinder Bancorp, Inc.",57262000,,1967000,Regional Banks
TARS,"Tarsus Pharmaceuticals, Inc.",25816000,24861000,-62091000,Pharmaceuticals: Major
NJR,NewJersey Resources Corporation,1929384000,299830000,264724000,Gas Distributors
ARC,"ARC Document Solutions, Inc.",286010000,102400000,11094000,Commercial Printing/Forms
ALG,"Alamo Group, Inc.",1513616000,368239000,101928000,Trucks/Construction/Farm Machinery
RRR,"Red Rock Resorts, Inc.",1663786000,946703000,205457000,Hotels/Resorts/Cruise lines
ALRM,"Alarm.com Holdings, Inc.",842559000,469108000,56338000,Packaged Software
RF,Regions Financial Corporation,7527000000,,2245000000,Major Banks
FSBC,Five Star Bancorp,125075000,,44801000,Regional Banks
IRTC,"iRhythm Technologies, Inc.",410921000,281632000,-116155000,Medical Specialties
BCML,BayCom Corp,117738000,,26987000,Regional Banks
PB,"Prosperity Bancshares, Inc.",1236151000,,524515999.99999994,Regional Banks
LOW,"Lowe's Companies, Inc.",97059000000,30491000000,6416000000,Home Improvement Chains
SVV,"Savers Value Village, Inc.",1437229000,507963000,84720000,Specialty Stores
MHK,"Mohawk Industries, Inc.",11737065000,3011443000,25247000,Forest Products
DY,"Dycom Industries, Inc.",3808462000,504017000,142213000,Engineering & Construction
MITQ,"Moving iMage Technologies, Inc.",20207000,5205000,-1798000,Electronics/Appliances
ZTS,Zoetis Inc.,8080000000,5476000000,2114000000,Pharmaceuticals: Major
ENS,EnerSys,3708579000,841900000,175810000,Electrical Products
AMK,"AssetMark Financial Holdings, Inc.",618306000,258545000.00000003,103261000,Financial Conglomerates
SCHW,Charles Schwab Corporation (The),22307000000,19134000000,7183000000,Investment Banks/Brokers
SPCE,"Virgin Galactic Holdings, Inc.",2312000,-10692000,-500152000,Aerospace & Defense
AXTA,Axalta Coating Systems Ltd.,4884400000,1297800000,191600000,Industrial Specialties
FORR,"Forrester Research, Inc.",537787000,291584000,21806000,Miscellaneous Commercial Services
GLDD,Great Lakes Dredge & Dock Corporation,648781000,45392000,-34055000,Engineering & Construction
TSCO,Tractor Supply Company,14204717000,4629142000,1088712000,Specialty Stores
VREX,Varex Imaging Corporation,893400000,290300000,48200000,Medical Specialties
GTEC,Greenland Technologies Holding Corporation,90830674,18864734,3559565,Industrial Machinery
SVRS,SILVAIR-REGS,1318317.65586056,-1106572.42619338,-2207036.81691559,Packaged Software
ASH,Ashland Inc.,2191000000,521000000,178000000,Food: Specialty/Candy
BRKR,Bruker Corporation,2530700000,1306600000,296600000,Medical Specialties
EXP,Eagle Materials Inc,2148069000,639266000,461540000,Construction Materials
LECO,"Lincoln Electric Holdings, Inc.",3760249000,1279167000,472224000,Industrial Machinery
FLCX,flooidCX Corp.,,,,Packaged Software
CMAX,"CareMax, Inc.",631132000,482765000,-37796000,Medical/Nursing Services
LFUS,"Littelfuse, Inc.",2513897000,951218000,373306000,Electronic Production Equipment
KW,Kennedy-Wilson Holdings Inc.,540000000,186400000,93700000,Real Estate Development
MCY,Mercury General Corporation,3643066000,,-512672000,Property/Casualty Insurance
ICHR,Ichor Holdings,1280069000,193959000,72804000,Industrial Machinery
RRBI,"Red River Bancshares, Inc.",113122000,,36916000,Regional Banks
VST,Vistra Corp.,17837000000,3814000000,-1227000000,Electric Utilities
AAON,"AAON, Inc.",888788000,229522000,100376000,Industrial Machinery
FORW,Forwardly Inc.,0,0,-2589744,Financial Conglomerates
TRC,Tejon Ranch Co,79217000,23428000,15808000,Real Estate Development
FORD,"Forward Industries, Inc.",42337385,8155031,-1378251,Other Consumer Specialties
PRA,ProAssurance Corporation,1108093000,,-402000,Property/Casualty Insurance
PLMR,"Palomar Holdings, Inc.",327086000,,52170000,Property/Casualty Insurance
BIGC,"BigCommerce Holdings, Inc. - Series 1",279075000,198395000,-139919000,Packaged Software
CFR,"Cullen/Frost Bankers, Inc.",1876437000,,573940000,Regional Banks
CAG,"ConAgra Brands, Inc.",12277000000,3283600000,682800000,Food: Specialty/Candy
BFAM,Bright Horizons Family Solutions Inc.,2020487000,374002000,80298000,Miscellaneous Commercial Services
MMM,3M Company,34229000000,14966000000,5777000000,Industrial Conglomerates
6819,INTELLICENTRICS GLOBAL HOLDINGS LTD,43969359.26188321,32008253.89105174,-8840860.48096482,Packaged Software
BFCC,BankFirst Capital Corporation,94949000,,22955000,Regional Banks
ISSC,"Innovative Solutions and Support, Inc.",27740695,16674381,5523778,Aerospace & Defense
ALRS,Alerus Financial Corporation,223829000,,39589000,Major Banks
GBX,"Greenbrier Companies, Inc. (The)",3942200000,442100000,62500000,Trucks/Construction/Farm Machinery
DTE,DTE Energy Company,19226000000,2306000000,1080000000,Electric Utilities
EPAC,Enerpac Tool Group Corp.,598204000,289927000,46561000,Industrial Machinery
FNKO,"Funko, Inc.",1322706000,386352000,-8035000,Recreational Products
UGI,UGI Corporation,8917000000,3219000000,-1502000000,Wholesale Distributors
BV,"BrightView Holdings, Inc.",2816000000,634400000,-7700000,Miscellaneous Commercial Services
WWW,"Wolverine World Wide, Inc.",2684800000,1066700000,-188900000,Apparel/Footwear
PHIN,PHINIA Inc.,3348000000,722000000,262000000,Auto Parts: OEM
PFLC,Pacific Financial Corp.,49379000,,10888000,Regional Banks
FICO,Fair Isaac Corporation,1513557000,1201404000,429375000,Packaged Software
CDTX,"Cidara Therapeutics, Inc.",64288000,64144999.99999999,-29799000,Pharmaceuticals: Other
BBY,"Best Buy Co., Inc.",46298000000,9826000000,1419000000,Electronics/Appliance Stores
STRW,"Strawberry Fields REIT, Inc.",92543000,50553000,1852000,Real Estate Investment Trusts
SFBC,"Sound Financial Bancorp, Inc.",44377000,,8804000,Regional Banks
IOSP,Innospec Inc.,1963700000,575000000,133000000,Chemicals: Major Diversified
FMBH,"First Mid Bancshares, Inc.",290243000,,72952000,Regional Banks
CFFI,C&F Financial Corporation,129836000.00000001,,29159000,Regional Banks
HCI,"HCI Group, Inc.",499563000,,-55048000,Property/Casualty Insurance
FLO,"Flowers Foods, Inc.",4805822000,2166231000,228394000,Food: Specialty/Candy
TCS,Container Store (The),1047258000,562058000,-158856000,Specialty Stores
HIBB,"Hibbett, Inc.",1708316000,557982000,128056999.99999999,Specialty Stores
APAM,Artisan Partners Asset Management Inc.,983353000,,183954000,Investment Managers
GDDY,GoDaddy Inc.,4086000000,2407300000,352200000,Data Processing Services
PSMT,"PriceSmart, Inc.",4411842000,758566000,107894000,Specialty Stores
DH,Definitive Healthcare Corp.,222653000,139883000,-7222000,Packaged Software
NUS,"Nu Skin Enterprises, Inc.",2225659000,1522238000,104778000,Household/Personal Care
ITRI,"Itron, Inc.",1795564000,496472000,-9732000,Electronic Equipment/Instruments
WMS,"Advanced Drainage Systems, Inc.",3071121000,1062330999.9999998,507086000,Miscellaneous Manufacturing
